id,message,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
35,We're excited to be launching another first - Data Engineering Accelerator:  https://explore-datascience.net/course/info/57/3/oncampus,11,32,29,3,0,0,0,0,29
36,What is Big O Notation?  Big O Notation is a mathematical notation that describes how an algorithm behaves when the argument tends towards a specific value - focusing on the limiting behaviour.   Have a look at this article for more information on Big O Notation and how to implement with guiding exercises - https://towardsdatascience.com/understanding-big-o-notation-for-data-scientists-b892bc00e1e8  #datascience #python #bigonotation #algorithm,0,24,23,1,0,0,0,0,23
37,www.explore-datascience.net,6,40,38,2,0,0,0,0,38
38,Ever wondered what the main difference is between an ETL and ELT pipeline?   This is explained in detail in our Data Engineering course. Have a look at our website if you would like more information regarding this: https://explore-datascience.net/course/info/3/3/1  #machinelearning #datascience #dataengineering,0,34,34,0,0,0,0,0,34
39,"Machine learning pipelines are vital to automating the machine learning workflow, from data collection to deploying the model into production. There are numerous machine learning orchestration tools. This article introduces some of the best tools to use for MlOps pipeline orchestration.   https://neptune.ai/blog/best-workflow-and-pipeline-orchestration-tools  #machinelearning #datascience #mlops",1,17,17,0,0,0,0,0,17
40,"There is so much to learn with data science, and it is a continuous process that can often be overwhelming. This article contains 21 tips for your data science journey and projects.   https://towardsdatascience.com/21-tips-for-every-data-scientist-for-2021-3d4c28471a6c",4,22,22,0,0,0,0,0,22
41,Explore Data Science Academy will be launching a 12-month part-time Data Engineering course on the 12th of July.  This article outlines what Data Engineering is. - https://realpython.com/python-data-engineer/  Pop over to our website for a detailed breakdown of what the course entails. - https://explore-datascience.net/course/info/3/3/online,6,50,45,4,0,1,0,0,45
42,"There are numerous data science resources available, but sometimes it takes a bit of time to find the best ones.  Dataquest.io has compiled a list of resources recommended by the community. The resources include courses, competitions, blogs and career guidance.  https://www.dataquest.io/data-science-resources/#tab-con-2  #datascience #education #resourcesharing",0,48,44,3,0,1,0,0,44
43,Do you want to transition to a career in Data Science but not sure if it is possible?  This article outlines how you can transition into Data Science from eight different backgrounds.   https://www.analyticsvidhya.com/blog/2020/11/how-to-transition-data-science-different-backgrounds/  #datascience #careerchange,3,38,35,3,0,0,0,0,35
44,Are you ready to dive into Neural Networks after our post earlier this week of the Neural Network glossary?  Have a look at this video by 3Blue1Brown on what Neural Network is: https://www.youtube.com/watch?v=aircAruvnKk&list=RDCMUCYO_jab_esuFRV4b17AJtAw&index=12  #deeplearning #neuralnetworks #learndatascience,2,29,27,2,0,0,0,0,27
45,Often we can find learning a new field daunting due to the multitude of new terminologies we need to familiarise ourselves with.  Having a glossary or dictionary close by with all the terms can make it a lot less daunting.  Have a look at this Neural Network dictionary and keep it close by for the day you want to dive into Deep Learning.  https://towardsdatascience.com/the-beginners-glossary-of-neural-network-terms-a9617354078  #machinelearning #deeplearning #learningaid #datascience,0,35,31,4,0,0,0,0,31
46,"Having a portfolio of what you can do as a data scientist can definitely advance your job prospects. However, the starting point in building your portfolio to display your skills in data cleaning, visualisation and machine learning will always be finding the right dataset.  This article lists 21 places where you can find datasets for data science projects. So go and have a look and start working on your portfolio.  https://www.dataquest.io/blog/free-datasets-for-projects/  #datascience #datascienceskills #portfolio #data",0,22,20,2,0,0,0,0,20
