id,parent_id,message,created_time,updated_time,Total_Summary,Total _reactions_summary,Total_like_summary,Total_love_summary,Total_haha_summary,Total_wow_summary,Total_sad_summary,Total_angry_summary,Total_likes_summary,likes.summary.total_count_1
42,1,Who is excited for the 2021 applications for our one year Data Science Course? ??  Sponsored by a top company ?? +90% job placement ?? R360 000 average starting salary ?? Enter the exciting world of Data Science ??,9/5/2020 20:00,11/5/2020 15:33,10,35,27,8,0,0,0,0,27,27
43,1,"Dave Strugnell, Head of Actuarial Sciences at UCT and co-founder of EXPLORE, talks about the academy.   https://podcasts.google.com/feed/aHR0cHM6Ly9pb25vLmZtL3Jzcy9jaGFuLzM1MDM/episode/aHR0cDovL2lvbm8uZm0vZS81NTY0NDE?hl=en-ZA&ved=2ahUKEwj5mvn_xcXrAhVJZMAKHUgUDTgQjrkEegQICxAN&ep=6",9/4/2020 20:00,9/7/2020 0:22,1,6,6,0,0,0,0,0,6,6
44,1,What is it like working as a data scientist?   https://www.siliconrepublic.com/people/data-scientist-laura-sinnott-aon,9/3/2020 20:00,9/3/2020 20:00,0,8,7,1,0,0,0,0,7,7
45,1,How will data science change? Here are 3 areas where data will change as you progress in the data world.  http://www.cofmag.com/2020/08/how-3-things-will-change-the-way-you-approach-data-science/,9/2/2020 20:00,9/2/2020 20:00,0,2,2,0,0,0,0,0,2,2
46,1,https://startupng.com.ng/uncategorized/203370/data-science-and-machine-learning-service-market-growth-overview-with-detailed-analysis-2020-2026-amazon-web-services-google-mango-solutions-zs-datascience-com-latentview-analytics-and-more/,9/1/2020 20:00,9/1/2020 20:00,0,4,4,0,0,0,0,0,4,4
47,1,"The future will be data. No matter your career, you will need to work with data in some aspect.   https://www.theladders.com/career-advice/why-data-analysis-is-going-to-be-necessary-for-your-job",8/31/2020 20:00,8/31/2020 20:00,0,5,5,0,0,0,0,0,5,5
48,1,Here are some beginner concepts every aspiring data scientist should be comfortable explaining!   https://blog.dataiku.com/an-introduction-to-key-data-science-concepts,8/25/2020 20:08,8/25/2020 20:08,0,6,6,0,0,0,0,0,6,6
49,1,We have partnered with Amazon Web Services (AWS) to deliver our courses on their platform. AWS has invested in education within the technology industry.,8/24/2020 19:30,8/24/2020 20:51,0,18,13,4,0,1,0,0,13,13
50,1,Really cool use of Machine Learning and AI in the sporting world!   https://www.formula1.com/en/latest/article.hamilton-schumacher-senna-machine-learning-reveals-the-fastest-f1-driver-of.3DwwPLW4glCmlunjciH1Cz.html,8/22/2020 10:00,8/22/2020 10:00,0,5,3,0,0,2,0,0,3,3
51,1,"As COVID progresses, consider what the new normal of online technologies mean for your company. We offer solutions for a technologically driven future.  https://www.youtube.com/watch?v=07CpMmY2NTk",8/21/2020 9:00,8/21/2020 9:00,0,5,4,1,0,0,0,0,4,4
52,1,We offer a host of enterprise learning solutions. Is your company interested in certified and accredited data skills? Maybe you need data solutions or resources?  Visit our website at https://explore-datascience.net/   https://youtu.be/WegG4dEiMNU,8/20/2020 20:00,8/20/2020 20:00,0,2,2,0,0,0,0,0,2,2
54,1,"Investing in machine learning and data, is investing in the future of technology.  https://www.meritalk.com/articles/energy-department-investing-37m-in-ai-ml-data-science/",8/19/2020 20:00,8/19/2020 20:00,0,4,4,0,0,0,0,0,4,4
55,1,How do you set-up a data science project within a company?  https://www.consultancy.eu/news/4689/four-steps-for-getting-started-with-data-science,8/18/2020 20:00,8/18/2020 20:00,0,4,4,0,0,0,0,0,4,4
56,1,This will be our first reach outside of Africa. EXPLORE with gumption.   https://www.itweb.co.za/content/4r1ly7RbBZk7pmda/G3mYZRXM9yMOgA8L,8/17/2020 19:16,8/17/2020 19:46,1,51,41,9,0,1,0,0,41,41
57,1,What makes us unique.  https://www.techfinancials.co.za/2020/08/12/south-african-startup-explore-wants-to-be-a-global-player-in-data-science/,8/12/2020 20:26,8/12/2020 20:26,0,20,18,1,0,1,0,0,18,18
58,1,We are proud to train data scientists for African Bank!   https://www.htxt.co.za/2020/07/21/why-african-bank-is-training-data-scientists-and-making-them-a-key-part-of-its-workforce/,8/8/2020 12:00,8/8/2020 12:13,1,27,20,7,0,0,0,0,20,20
59,1,Here is a really cool tutorial on how you can make a game using python!   https://www.androidauthority.com/how-to-make-a-game-in-python-1136589/,8/7/2020 20:00,8/7/2020 20:00,0,6,6,0,0,0,0,0,6,6
60,1,Python 3.9 is coming soon! Here are some cool new features.  https://thenextweb.com/syndication/2020/07/29/a-look-at-the-best-new-features-in-python-3-9/,8/6/2020 20:00,8/6/2020 20:00,0,6,6,0,0,0,0,0,6,6
61,1,How do you build a workforce for artificial intelligence?  https://www.forbes.com/sites/forbestechcouncil/2020/07/28/building-the-future-of-work-with-artificial-intelligence/,8/5/2020 20:00,8/5/2020 20:00,0,3,3,0,0,0,0,0,3,3
62,1,https://www.forbes.com/sites/bernardmarr/2020/08/03/3-important-ways-artificial-intelligence-will-transform-your-business-and-turbocharge-success/,8/4/2020 20:00,8/4/2020 20:00,0,5,4,1,0,0,0,0,4,4
63,1,"Data science involves gathering, analysing explaining the data and then deploying a workable solution. Read more about what data science entails below!  https://www.unite.ai/what-is-data-science/",8/3/2020 20:00,8/3/2020 20:00,0,6,6,0,0,0,0,0,6,6
64,1,EXPLORE’s courses are all based on Python coding. Our interns use it as their main language to code their machine learning algorithms!  https://www.cdotrends.com/story/14950/python-use-data-scientists-growing,7/28/2020 20:02,10/20/2020 14:41,1,18,14,3,0,1,0,0,14,14
65,1,What exactly is machine learning? How is it related to data and AI?  https://youtu.be/HcqpanDadyQ,7/25/2020 15:00,7/25/2020 15:00,0,7,7,0,0,0,0,0,7,7
66,1,COVID has increased the demand for AI technology and solutions.  https://data-economy.com/covid-19-the-latest-ai-demand-driver/,7/24/2020 20:00,7/27/2020 14:45,1,7,7,0,0,0,0,0,7,7
67,1,How has technology changed the way businesses operate during the global lockdown?  https://www.iol.co.za/business-report/tech-news-augmented-organisations-augmented-collaboration-and-ai-51064070,7/23/2020 20:00,7/23/2020 20:00,0,4,4,0,0,0,0,0,4,4
68,1,Here are some tips on getting that data science job!  https://www.analyticsinsight.net/tips-land-first-data-science-job/,7/22/2020 20:00,7/22/2020 20:00,0,8,8,0,0,0,0,0,8,8
69,1,"Data scientists are sought after, even during the COVID pandemic. As someone looking for a data scientist, here is what you should consider.  https://www.techrepublic.com/article/one-key-to-hiring-your-next-data-scientist/",7/21/2020 20:00,7/21/2020 20:01,0,4,4,0,0,0,0,0,4,4
70,1,Here is a life as a data scientist who has been through the EXPLORE academy.   https://podcasts.google.com/feed/aHR0cHM6Ly9wb2RjYXN0c3R1ZGlvcy5jby56YS9yc3MvZXhwbG9yZS10aGUtZnV0dXJlLnhtbA/episode/ZXhwbG9yZS10aGUtZnV0dXJlLTAwMw,7/20/2020 20:00,7/20/2020 20:00,0,8,7,1,0,0,0,0,7,7
71,1,Here are 10 ways AI and Data is transforming Enterprise Software.  https://www.informationweek.com/big-data/ai-machine-learning/10-ways-ai-is-transforming-enterprise-software/d/d-id/1338300,7/18/2020 10:30,7/18/2020 10:30,0,8,8,0,0,0,0,0,8,8
72,1,"When analysing data, how would you approach it?   https://www.analyticsinsight.net/how-to-approach-data-analytics/",7/17/2020 20:00,7/17/2020 20:00,0,7,7,0,0,0,0,0,7,7
73,1,Data science is needed for the future where information is everything!   https://www.forbes.com/sites/ankitmishra/2020/07/13/data-science-the-key-tool-cities-need-to-reduce-carbon-emissions/,7/15/2020 20:00,7/15/2020 20:00,0,11,11,0,0,0,0,0,11,11
74,1,https://www.itweb.co.za/content/JBwEr7nBxZ476Db2,7/14/2020 20:00,7/14/2020 20:00,0,33,28,5,0,0,0,0,28,28
75,1,"Life at EXPLORE? We work but enjoy the start-up life! Take a listen to our first podcast of the year hosted by our Founder, Shaun Dippnall.  https://podlink.to/explore",7/13/2020 20:00,7/13/2020 20:00,0,9,9,0,0,0,0,0,9,9
76,1,50 companies leading the USA's economy with AI!   https://www.forbes.com/sites/alanohnsman/2020/07/03/ai-50-americas-most-promising-artificial-intelligence-companies/#34760acd5c99,7/11/2020 10:00,7/11/2020 10:00,0,4,4,0,0,0,0,0,4,4
77,1,Innovation unlocks economical potential. Excited to see the relaunch of the Innovation Challenge by Cell C  https://www.htxt.co.za/2020/07/06/cell-cs-innovation-challenge-relaunched-for-local-ict-smes-and-entrepreneurs/,7/10/2020 20:00,7/10/2020 20:00,0,11,10,1,0,0,0,0,10,10
78,1,We are proud to have a few EXPLORERS working on the 11 official South African languages in relation to the AI space!   https://qz.com/1876793/south-african-scientists-use-news-headlines-to-power-ai/,7/9/2020 20:00,7/9/2020 20:00,0,11,10,1,0,0,0,0,10,10
80,1,"To survive the pandemic and enter into future industries, South Africa needs to build a digital and smart economy!  https://www.dailymaverick.co.za/opinionista/2020-07-06-africa-and-south-africa-must-embrace-4ir-to-compete-in-the-global-economic-race/",7/8/2020 20:00,7/8/2020 20:00,0,15,15,0,0,0,0,0,15,15
81,1,Great to see South African AI products making waves!  https://techpoint.africa/2020/07/02/south-african-startup-voyc-is-rebranding-and-going-global/,7/7/2020 20:00,7/7/2020 20:00,0,19,16,3,0,0,0,0,16,16
82,1,https://allafrica.com/stories/202006250789.html  An up-coming virtual conference addressing all things Fourth Industrial Revolution related! South Africa is in a prime position to establish a strong data driven foundation.,7/4/2020 10:00,7/4/2020 10:00,0,6,5,1,0,0,0,0,5,5
83,1,https://businesstech.co.za/news/technology/410869/these-are-the-tech-jobs-that-will-be-needed-in-south-africa-minister/,7/3/2020 20:00,7/3/2020 20:00,0,4,4,0,0,0,0,0,4,4
84,1,"Corporate Social Investment (CSI) is huge in developing the community. We began as a partnership with BCX to host our first cohort of sponsored students in Cape Town. Now with more than 5 sponsors and 3 locations across South Africa producing over 200 data scientists yearly, we are growing and assisting our South African youth!   https://mybroadband.co.za/news/industrynews/357971-b-bbee-more-than-just-points.html",7/2/2020 17:34,7/2/2020 17:34,0,6,4,2,0,0,0,0,4,4
85,1,"1 DAY LEFT to apply for Africa's leading online data science course for the July in take!  Learn coding, databases, dashboards and AI. Learn future-proof skills.  APPLY NOW!  https://explore-datascience.net/long-courses/data-science/2",7/1/2020 20:00,7/1/2020 20:00,0,3,2,1,0,0,0,0,2,2
86,1,Only a few days left to register for our online data science course!   >We assist with job placement (90+% placement) >We offer the most comprehensive Data Science Course in Africa >Our graduates pursue some of the highest paying jobs (R360000 average starting salary)  Register Now!  https://explore-datascience.net/long-courses/data-science/2,6/30/2020 20:00,7/9/2020 21:20,1,4,4,0,0,0,0,0,4,4
87,1,5 days left to register for our market-leading on-line Data Science course.  Sign up now!  https://www.youtube.com/watch?v=aeCGUxAcIWQ&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=11,6/27/2020 17:47,6/27/2020 17:47,0,4,4,0,0,0,0,0,4,4
88,1,The business world is in need of new innovation and disruption. Future start-ups need future skills! Here are 10 start-ups killing it with data and AI!  https://www.crn.com/slide-shows/applications-os/the-10-hottest-data-science-and-machine-learning-startups-of-2020-so-far-,6/27/2020 10:00,6/27/2020 10:00,0,9,9,0,0,0,0,0,9,9
89,1,Learn Data Science. Predict the future. Solve complex problems.   Our online applications are still open for the July in take!   https://explore-datascience.net/long-courses/data-science/2,6/26/2020 19:25,6/26/2020 19:25,0,3,3,0,0,0,0,0,3,3
90,1,New technologies = new possibilities. Here 10 ways AI is being used for good causes!  https://www.forbes.com/sites/bernardmarr/2020/06/22/10-wonderful-examples-of-using-artificial-intelligence-ai-for-good/,6/25/2020 20:00,6/25/2020 20:00,0,5,5,0,0,0,0,0,5,5
91,1,"These are the 3 trends for the digitisation in the banking sector, shaped by COVID-19.  https://www.weforum.org/agenda/2020/06/digitalization-is-changing-banking-these-three-trends-will-help-shape-its-future/",6/24/2020 20:00,6/24/2020 20:00,0,9,9,0,0,0,0,0,9,9
92,1,Well done to Wits - University of the Witwatersrand for making a historic move towards the fight on CoVid-19. First in Africa!  https://businesstech.co.za/news/technology/410103/south-africa-starts-first-covid-19-vaccine-trial/,6/23/2020 20:00,6/23/2020 20:00,0,16,14,2,0,0,0,0,14,14
93,1,Our EXPLORERs have fun teaching the latest advances in Data Science. Out students learn using real-world examples that are engaging and lots of fun.  https://www.youtube.com/watch?v=1qD5uDm7YJE&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=9,6/20/2020 8:17,6/20/2020 8:17,0,4,4,0,0,0,0,0,4,4
