,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
213,Python Streaming in Hadoop,2015-07-23T23:03:26Z,3772,13,13,0,youtube#video,Jul,2015-07-23 23:03:26+00:00,Thursday
214,Dashboard at the New York Times by Charlie Guthrie,2015-05-05T18:48:23Z,199,1,1,0,youtube#video,May,2015-05-05 18:48:23+00:00,Tuesday
215,Data Science at Gilt,2015-05-05T18:48:03Z,147,0,0,0,youtube#video,May,2015-05-05 18:48:03+00:00,Tuesday
216,NYC Data Science Academy Students Present 4-22-15,2015-04-27T01:35:35Z,195,0,0,0,youtube#video,Apr,2015-04-27 01:35:35+00:00,Monday
217,Is there a Bike?,2015-04-27T01:35:07Z,63,0,0,0,youtube#video,Apr,2015-04-27 01:35:07+00:00,Monday
218,NYC 311 Call Center: Big Data Gold Mine,2015-04-27T01:34:44Z,583,1,1,2,youtube#video,Apr,2015-04-27 01:34:44+00:00,Monday
219,Scikit Learn Workshop with Andreas Mueller 3-30-2015,2015-04-01T17:09:35Z,6191,99,99,3,youtube#video,Apr,2015-04-01 17:09:35+00:00,Wednesday
220,Max Kuhn: Applied Predictive Modeling,2015-02-25T17:17:57Z,23198,302,302,6,youtube#video,Feb,2015-02-25 17:17:57+00:00,Wednesday
221,aiding journalism with machine learning at nytimes,2014-11-11T19:41:44Z,465,5,5,0,youtube#video,Nov,2014-11-11 19:41:44+00:00,Tuesday
222,aiding journaliam with natural language processing at nytimes,2014-11-11T13:42:31Z,316,1,1,0,youtube#video,Nov,2014-11-11 13:42:31+00:00,Tuesday
223,Joel Taipei Open Data,2014-11-09T17:39:45Z,38,0,0,0,youtube#video,Nov,2014-11-09 17:39:45+00:00,Sunday
224,"Data Sciences and Statistics, What's the intersection? - Ron Wasserstein",2014-06-30T20:27:53Z,859,6,6,0,youtube#video,Jun,2014-06-30 20:27:53+00:00,Monday
225,Carto Tutorial Workshop: Create Dynamic Data-driven Maps,2014-06-30T07:25:47Z,4405,24,24,0,youtube#video,Jun,2014-06-30 07:25:47+00:00,Monday
