Title,Published_date,Views,Likes,Comments,Name
Alumni Share Their Experience at Data Science Dojo,2018-09-29,1769,8,0,Data Science Dojo
Data Science Dojo Alumni - Markus Nyland,2018-09-24,219,2,0,Data Science Dojo
Data Science Dojo Alumni - Louell Uy,2018-09-24,116,2,0,Data Science Dojo
Data Science Dojo Alumni - Mohamed Kashkoush,2018-09-24,201,5,0,Data Science Dojo
Data Science Dojo Alumni - Vince Vardhanabhuti,2018-09-10,545,4,0,Data Science Dojo
Data Science Dojo Alumni - Kapil Pandey,2018-09-07,349,0,0,Data Science Dojo
Data Science Dojo Alumni - Haydar Ozler,2018-09-07,408,1,0,Data Science Dojo
Data Science Dojo Alumni - Camillo Giovannini,2018-09-07,130,0,0,Data Science Dojo
Data Science Dojo Alumni - Gurbinder Suri,2018-09-06,220,3,1,Data Science Dojo
Data Science Dojo Alumni - Carlos Martinez,2018-08-31,151,3,0,Data Science Dojo
Data Science Dojo Alumni - Ewerton John,2018-08-29,187,3,0,Data Science Dojo
Data Science Dojo Alumni - Baidurja Ray,2018-08-29,155,0,0,Data Science Dojo
Data Science Dojo Alumni - Eric Ryszkiewicz,2018-08-23,323,4,0,Data Science Dojo
Data Science Dojo Alumni - Alan Portugal,2018-08-21,242,2,0,Data Science Dojo
Data Science Dojo Alumni - Kevin Hassnain,2018-06-29,326,3,0,Data Science Dojo
Data Science Dojo Alumni - Chris Shei,2018-06-25,441,6,1,Data Science Dojo
Data Science Dojo Nonprofit Fellow - Jacky Sawyer,2018-06-21,659,10,3,Data Science Dojo
Introduction to Data Visualization with ggplot2,2018-06-21,7193,97,8,Data Science Dojo
Education Technology Case Study | Michael Hernandez | Pearson Education,2018-05-01,1127,28,1,Data Science Dojo
Data Science Dojo Alumni - Dr. Arindam Sen,2018-04-23,367,4,1,Data Science Dojo
Data Science Dojo Alumni - Mohammed Abdul-Gaffoor,2018-04-19,416,8,0,Data Science Dojo
Data Science Dojo Alumni - Gemma Miranda,2018-04-18,418,7,0,Data Science Dojo
Data Science Dojo Alumni - Darth Vaughn,2018-04-13,458,6,1,Data Science Dojo
